2016-10-05 15:17:15,830 [Worker-9] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /autofs/netapp/travail/wvervale/bigdatatd5/bigdata/tp5exo1/src/test/resources
2016-10-05 15:17:34,166 [Worker-25] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-10-05 15:17:34,168 [Worker-25] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /autofs/netapp/travail/wvervale/bigdatatd5/bigdata/tp5exo1/src/main/resources
2016-10-05 15:17:34,169 [Worker-25] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-10-05 15:17:34,170 [Worker-25] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /autofs/netapp/travail/wvervale/bigdatatd5/bigdata/tp5exo1/src/test/resources
2016-10-05 15:21:25,738 [Worker-27] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-10-05 15:21:25,739 [Worker-27] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /autofs/netapp/travail/wvervale/bigdatatd5/bigdata/tp5exo1/src/main/resources
2016-10-05 15:21:25,740 [Worker-27] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-10-05 15:21:25,742 [Worker-27] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /autofs/netapp/travail/wvervale/bigdatatd5/bigdata/tp5exo1/src/test/resources
2016-10-05 15:26:45,984 [Worker-27] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-10-05 15:26:45,986 [Worker-27] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /autofs/netapp/travail/wvervale/bigdatatd5/bigdata/tp5exo1/src/main/resources
2016-10-05 15:26:45,988 [Worker-27] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-10-05 15:26:45,989 [Worker-27] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /autofs/netapp/travail/wvervale/bigdatatd5/bigdata/tp5exo1/src/test/resources
2016-10-05 15:26:51,418 [Worker-9] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-10-05 15:26:51,420 [Worker-9] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /autofs/netapp/travail/wvervale/bigdatatd5/bigdata/tp5exo1/src/main/resources
2016-10-05 15:26:51,421 [Worker-9] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-10-05 15:26:51,422 [Worker-9] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /autofs/netapp/travail/wvervale/bigdatatd5/bigdata/tp5exo1/src/test/resources
2016-10-05 15:29:07,799 [Worker-26] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-10-05 15:29:07,801 [Worker-26] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /autofs/netapp/travail/wvervale/bigdatatd5/bigdata/tp5exo1/src/main/resources
2016-10-05 15:29:07,802 [Worker-26] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
